HostElementId,HostCategory,HostElementName,ParameterId,ParameterTypeId,ParameterName,ParameterValue
26,Materials,Glass,-1140304,autodesk.spec.aec:number-2.0.0,"Poisson ratio Y","0"
26,Materials,Glass,-1140303,autodesk.spec.aec:number-2.0.0,"Poisson ratio X","0"
26,Materials,Glass,-1140302,autodesk.spec.aec.structural:stress-2.0.0,"Young modulus Z","0.0 MPa"
26,Materials,Glass,-1140301,autodesk.spec.aec.structural:stress-2.0.0,"Young modulus Y","0.0 MPa"
26,Materials,Glass,-1140300,autodesk.spec.aec.structural:stress-2.0.0,"Young modulus X","0.0 MPa"
26,Materials,Glass,-1013201,,"Design Option","-1"
26,Materials,Glass,-1010109,autodesk.spec:spec.string-2.0.0,"Model",""
26,Materials,Glass,-1010108,autodesk.spec:spec.string-2.0.0,"Manufacturer",""
26,Materials,Glass,-1010106,autodesk.spec:spec.string-2.0.0,"Comments",""
26,Materials,Glass,-1010104,autodesk.spec.string:url-2.0.0,"URL",""
26,Materials,Glass,-1010103,autodesk.spec:spec.string-2.0.0,"Description","Soda Lime Glass"
26,Materials,Glass,-1002554,autodesk.spec:spec.int64-2.0.0,"Shininess","12"
26,Materials,Glass,-1002553,autodesk.spec:spec.int64-2.0.0,"Smoothness","50"
26,Materials,Glass,-1002552,autodesk.spec:spec.bool-1.0.0,"Glow","No"
26,Materials,Glass,-1002551,autodesk.spec:spec.int64-2.0.0,"Transparency","90"
26,Materials,Glass,-1002550,,"Color",""
26,Materials,Glass,-1002002,autodesk.spec:spec.string-2.0.0,"Family Name",""
26,Materials,Glass,-1002001,autodesk.spec:spec.string-2.0.0,"Type Name",""
26,Materials,Glass,-1001205,autodesk.spec.measurable:currency-2.0.0,"Cost","0.00"
26,Materials,Glass,-1001203,autodesk.spec:spec.string-2.0.0,"Mark",""
26,Materials,Glass,198377,autodesk.spec.aec:number-1.0.0,"Recycled Content","0"
234,,Arrow 30 Degree,-1140363,,"Category",""
234,,Arrow 30 Degree,-1140362,,"Category",""
234,,Arrow 30 Degree,-1013201,,"Design Option","-1"
234,,Arrow 30 Degree,-1006524,autodesk.spec:spec.bool-1.0.0,"Tick Mark Centered","No"
234,,Arrow 30 Degree,-1006449,autodesk.spec:spec.bool-1.0.0,"Arrow Closed","No"
234,,Arrow 30 Degree,-1006447,,"Heavy End Pen Weight","6"
234,,Arrow 30 Degree,-1006426,autodesk.spec.aec:angle-2.0.0,"Arrow Width Angle","30.00°"
234,,Arrow 30 Degree,-1006425,autodesk.spec:spec.bool-1.0.0,"Fill Tick","No"
234,,Arrow 30 Degree,-1006414,autodesk.spec.aec:sheetLength-2.0.0,"Tick Size","3.0000 mm"
234,,Arrow 30 Degree,-1006413,,"Arrow Style","Arrow"
234,,Arrow 30 Degree,-1002002,autodesk.spec:spec.string-2.0.0,"Family Name","Arrowhead"
234,,Arrow 30 Degree,-1002001,autodesk.spec:spec.string-2.0.0,"Type Name","Arrow 30 Degree"
299,Color Fill Legends,1,-1140363,,"Category","Color Fill Legends"
299,Color Fill Legends,1,-1140362,,"Category","Color Fill Legends"
299,Color Fill Legends,1,-1013201,,"Design Option","-1"
299,Color Fill Legends,1,-1007504,autodesk.spec.aec:sheetLength-2.0.0,"Swatch Height","9.5000 mm"
299,Color Fill Legends,1,-1007503,autodesk.spec.aec:sheetLength-2.0.0,"Swatch Width","9.5000 mm"
299,Color Fill Legends,1,-1007502,,"Values Displayed","By View"
299,Color Fill Legends,1,-1006335,autodesk.spec.aec:sheetLength-2.0.0,"Size","4.5000 mm"
299,Color Fill Legends,1,-1006334,autodesk.spec:spec.string-2.0.0,"Font","Arial"
299,Color Fill Legends,1,-1006333,autodesk.spec:spec.bool-1.0.0,"Show Title","Yes"
299,Color Fill Legends,1,-1006332,autodesk.spec:spec.bool-1.0.0,"Underline","No"
299,Color Fill Legends,1,-1006331,autodesk.spec:spec.bool-1.0.0,"Italic","No"
299,Color Fill Legends,1,-1006330,autodesk.spec:spec.bool-1.0.0,"Bold","No"
299,Color Fill Legends,1,-1006329,autodesk.spec.aec:sheetLength-2.0.0,"Size","6.3500 mm"
299,Color Fill Legends,1,-1006328,autodesk.spec:spec.string-2.0.0,"Font","Arial"
299,Color Fill Legends,1,-1006314,,"Background","Opaque"
299,Color Fill Legends,1,-1006313,autodesk.spec:spec.bool-1.0.0,"Underline","No"
299,Color Fill Legends,1,-1006312,autodesk.spec:spec.bool-1.0.0,"Italic","No"
299,Color Fill Legends,1,-1006311,autodesk.spec:spec.bool-1.0.0,"Bold","No"
299,Color Fill Legends,1,-1006302,,"Color",""
299,Color Fill Legends,1,-1002002,autodesk.spec:spec.string-2.0.0,"Family Name","Color Fill Legend"
299,Color Fill Legends,1,-1002001,autodesk.spec:spec.string-2.0.0,"Type Name","1"
305,Levels,8mm Head,-1140363,,"Category","Levels"
305,Levels,8mm Head,-1140362,,"Category","Levels"
305,Levels,8mm Head,-1013201,,"Design Option","-1"
305,Levels,8mm Head,-1008002,autodesk.spec:spec.bool-1.0.0,"Symbol at End 1 Default","No"
305,Levels,8mm Head,-1008001,autodesk.spec:spec.bool-1.0.0,"Symbol at End 2 Default","Yes"
305,Levels,8mm Head,-1007109,,"Elevation Base","Project Base Point"
305,Levels,8mm Head,-1007100,,"Symbol","M_Level Head - Circle"
305,Levels,8mm Head,-1006305,,"Line Pattern","Dash - Tight"
305,Levels,8mm Head,-1006304,,"Color",""
305,Levels,8mm Head,-1006303,,"Line Weight","1"
305,Levels,8mm Head,-1002002,autodesk.spec:spec.string-2.0.0,"Family Name","Level"
305,Levels,8mm Head,-1002001,autodesk.spec:spec.string-2.0.0,"Type Name","8mm Head"
311,Levels,Level 1,-1140363,,"Category","Levels"
311,Levels,Level 1,-1140362,,"Category","Levels"
311,Levels,Level 1,-1013201,,"Design Option","-1"
311,Levels,Level 1,-1012201,,"Scope Box","None"
311,Levels,Level 1,-1008000,autodesk.spec:spec.string-2.0.0,"Name","Level 1"
311,Levels,Level 1,-1007112,autodesk.spec:spec.bool-1.0.0,"Structural","No"
311,Levels,Level 1,-1007111,autodesk.spec:spec.bool-1.0.0,"Building Story","Yes"
311,Levels,Level 1,-1007110,,"Story Above","Default"
311,Levels,Level 1,-1007102,autodesk.spec.aec:length-2.0.0,"Elevation","0"
311,Levels,Level 1,-1006939,autodesk.spec.aec:length-2.0.0,"Computation Height","0"
311,Levels,Level 1,-1002052,,"Family and Type","Level: 8mm Head"
311,Levels,Level 1,-1002051,,"Family","Level"
311,Levels,Level 1,-1002050,,"Type","8mm Head"
311,Levels,Level 1,-1002002,autodesk.spec:spec.string-2.0.0,"Family Name",""
311,Levels,Level 1,-1002001,autodesk.spec:spec.string-2.0.0,"Type Name",""
311,Levels,Level 1,-1002000,,"Type Id","305"
339,Floors,Generic 150mm,-1152384,autodesk.spec.reference:image-1.0.0,"Type Image","<None>"
339,Floors,Generic 150mm,-1140422,autodesk.spec:spec.string-2.0.0,"Keynote",""
339,Floors,Generic 150mm,-1140363,,"Category","Floors"
339,Floors,Generic 150mm,-1140362,,"Category","Floors"
339,Floors,Generic 150mm,-1013201,,"Design Option","-1"
339,Floors,Generic 150mm,-1010109,autodesk.spec:spec.string-2.0.0,"Model",""
339,Floors,Generic 150mm,-1010108,autodesk.spec:spec.string-2.0.0,"Manufacturer",""
339,Floors,Generic 150mm,-1010105,autodesk.spec:spec.string-2.0.0,"Type Comments",""
339,Floors,Generic 150mm,-1010104,autodesk.spec.string:url-2.0.0,"URL",""
339,Floors,Generic 150mm,-1010103,autodesk.spec:spec.string-2.0.0,"Description",""
339,Floors,Generic 150mm,-1005500,autodesk.spec.aec:material-1.0.0,"Structural Material","SH_resin Floor"
339,Floors,Generic 150mm,-1005436,autodesk.spec:spec.int64-2.0.0,"Roughness","1"
339,Floors,Generic 150mm,-1005435,autodesk.spec.aec:number-2.0.0,"Absorptance","0.1"
339,Floors,Generic 150mm,-1005434,autodesk.spec.aec.energy:heatCapacityPerArea-2.0.0,"Thermal Mass","0.00 kJ/(m²·K)"
339,Floors,Generic 150mm,-1005431,autodesk.spec.aec.energy:thermalResistance-2.0.0,"Thermal Resistance (R)","0.0000 (m²·K)/W"
339,Floors,Generic 150mm,-1005430,autodesk.spec.aec.energy:heatTransferCoefficient-2.0.0,"Heat Transfer Coefficient (U)","0.0000 W/(m²·K)"
339,Floors,Generic 150mm,-1002501,autodesk.spec:spec.string-2.0.0,"Assembly Description",""
339,Floors,Generic 150mm,-1002500,autodesk.spec:spec.string-2.0.0,"Assembly Code",""
339,Floors,Generic 150mm,-1002116,,"Structure",""
339,Floors,Generic 150mm,-1002110,,"Coarse Scale Fill Color",""
339,Floors,Generic 150mm,-1002106,,"Coarse Scale Fill Pattern",""
339,Floors,Generic 150mm,-1002002,autodesk.spec:spec.string-2.0.0,"Family Name","Floor"
339,Floors,Generic 150mm,-1002001,autodesk.spec:spec.string-2.0.0,"Type Name","Generic 150mm"
339,Floors,Generic 150mm,-1001902,autodesk.spec.aec:length-2.0.0,"Default Thickness","150"
339,Floors,Generic 150mm,-1001405,autodesk.spec:spec.string-2.0.0,"Type Mark",""
339,Floors,Generic 150mm,-1001205,autodesk.spec.measurable:currency-2.0.0,"Cost","0.00"
339,Floors,Generic 150mm,-1001006,,"Function","Interior"
341,Grids,6.5mm Bubble,-1140363,,"Category","Grids"
341,Grids,6.5mm Bubble,-1140362,,"Category","Grids"
341,Grids,6.5mm Bubble,-1013201,,"Design Option","-1"
341,Grids,6.5mm Bubble,-1008005,autodesk.spec:spec.bool-1.0.0,"Plan View Symbols End 2 (Default)","Yes"
341,Grids,6.5mm Bubble,-1008004,autodesk.spec:spec.bool-1.0.0,"Plan View Symbols End 1 (Default)","No"
341,Grids,6.5mm Bubble,-1008003,,"Non-Plan View Symbols (Default)","Top"
341,Grids,6.5mm Bubble,-1006710,,"End Segment Pattern","Grid Line"
341,Grids,6.5mm Bubble,-1006709,,"End Segment Color",""
341,Grids,6.5mm Bubble,-1006708,,"End Segment Weight","1"
341,Grids,6.5mm Bubble,-1006704,,"Center Segment","Continuous"
341,Grids,6.5mm Bubble,-1006700,,"Symbol","M_Grid Head - Circle"
341,Grids,6.5mm Bubble,-1002002,autodesk.spec:spec.string-2.0.0,"Family Name","Grid"
341,Grids,6.5mm Bubble,-1002001,autodesk.spec:spec.string-2.0.0,"Type Name","6.5mm Bubble"
357,,12mm Circle,-1140363,,"Category",""
357,,12mm Circle,-1140362,,"Category",""
357,,12mm Circle,-1013201,,"Design Option","-1"
357,,12mm Circle,-1007610,,"Elevation Mark","M_Elevation Mark Body_Circle-12mm : Filled Arrow"
357,,12mm Circle,-1002002,autodesk.spec:spec.string-2.0.0,"Family Name","Elevation Tag"
357,,12mm Circle,-1002001,autodesk.spec:spec.string-2.0.0,"Type Name","12mm Circle"
361,,2.5mm Arial,-1150213,autodesk.spec:spec.bool-1.0.0,"Show Border","No"
361,,2.5mm Arial,-1140363,,"Category",""
361,,2.5mm Arial,-1140362,,"Category",""
361,,2.5mm Arial,-1013201,,"Design Option","-1"
361,,2.5mm Arial,-1006501,autodesk.spec.aec:sheetLength-2.0.0,"Leader/Border Offset","2.0320 mm"
361,,2.5mm Arial,-1006327,autodesk.spec.aec:number-2.0.0,"Width Factor","1"
361,,2.5mm Arial,-1006326,autodesk.spec.aec:sheetLength-2.0.0,"Tab Size","12.7000 mm"
361,,2.5mm Arial,-1006315,,"Leader Arrowhead","Arrow 30 Degree"
361,,2.5mm Arial,-1006314,,"Background","Opaque"
361,,2.5mm Arial,-1006313,autodesk.spec:spec.bool-1.0.0,"Underline","No"
361,,2.5mm Arial,-1006312,autodesk.spec:spec.bool-1.0.0,"Italic","No"
361,,2.5mm Arial,-1006311,autodesk.spec:spec.bool-1.0.0,"Bold","No"
361,,2.5mm Arial,-1006304,,"Color",""
361,,2.5mm Arial,-1006303,,"Line Weight","1"
361,,2.5mm Arial,-1006301,autodesk.spec.aec:sheetLength-2.0.0,"Text Size","2.5000 mm"
361,,2.5mm Arial,-1006300,autodesk.spec:spec.string-2.0.0,"Text Font","Arial"
361,,2.5mm Arial,-1002002,autodesk.spec:spec.string-2.0.0,"Family Name","Text"
361,,2.5mm Arial,-1002001,autodesk.spec:spec.string-2.0.0,"Type Name","2.5mm Arial"
375,,Show All,-1140363,,"Category",""
375,,Show All,-1140362,,"Category",""
375,,Show All,-1013201,,"Design Option","-1"
375,,Show All,-1002002,autodesk.spec:spec.string-2.0.0,"Family Name",""
375,,Show All,-1002001,autodesk.spec:spec.string-2.0.0,"Type Name",""
442,,Concrete,-1140363,,"Category",""
442,,Concrete,-1140362,,"Category",""
442,,Concrete,-1013201,,"Design Option","-1"
442,,Concrete,-1002002,autodesk.spec:spec.string-2.0.0,"Family Name",""
442,,Concrete,-1002001,autodesk.spec:spec.string-2.0.0,"Type Name",""
523,Materials,Concrete, Cast In Situ,-1152385,autodesk.spec.reference:image-1.0.0,"Image","<None>"
523,Materials,Concrete, Cast In Situ,-1150465,autodesk.spec:spec.string-2.0.0,"Subclass",""
523,Materials,Concrete, Cast In Situ,-1150464,,"Class","Undefined"
523,Materials,Concrete, Cast In Situ,-1140422,autodesk.spec:spec.string-2.0.0,"Keynote",""
523,Materials,Concrete, Cast In Situ,-1140400,,"Material Type","Concrete"
523,Materials,Concrete, Cast In Situ,-1140363,,"Category","Materials"
523,Materials,Concrete, Cast In Situ,-1140362,,"Category","Materials"
523,Materials,Concrete, Cast In Situ,-1140355,autodesk.spec:spec.string-2.0.0,"Name","Concrete, Cast In Situ"
523,Materials,Concrete, Cast In Situ,-1140323,autodesk.spec:spec.bool-1.0.0,"Lightweight","No"
523,Materials,Concrete, Cast In Situ,-1140322,,"Behavior","Isotropic"
523,Materials,Concrete, Cast In Situ,-1140317,autodesk.spec.aec:number-2.0.0,"Shear strength modification","0"
523,Materials,Concrete, Cast In Situ,-1140314,autodesk.spec.aec.structural:stress-2.0.0,"Concrete compression","0.0 MPa"
523,Materials,Concrete, Cast In Situ,-1140312,autodesk.spec.aec.structural:thermalExpansionCoefficient-2.0.0,"Thermal expansion coefficient Z","0.00000 1/°C"
523,Materials,Concrete, Cast In Situ,-1140311,autodesk.spec.aec.structural:thermalExpansionCoefficient-2.0.0,"Thermal expansion coefficient Y","0.00000 1/°C"
523,Materials,Concrete, Cast In Situ,-1140310,autodesk.spec.aec.structural:thermalExpansionCoefficient-2.0.0,"Thermal expansion coefficient X","0.00000 1/°C"
523,Materials,Concrete, Cast In Situ,-1140309,autodesk.spec.aec.structural:unitWeight-2.0.0,"Unit weight","0.0 kN/m³"
523,Materials,Concrete, Cast In Situ,-1140308,autodesk.spec.aec.structural:stress-2.0.0,"Shear modulus Z","0.0 MPa"
523,Materials,Concrete, Cast In Situ,-1140307,autodesk.spec.aec.structural:stress-2.0.0,"Shear modulus Y","0.0 MPa"
523,Materials,Concrete, Cast In Situ,-1140306,autodesk.spec.aec.structural:stress-2.0.0,"Shear modulus X","0.0 MPa"
523,Materials,Concrete, Cast In Situ,-1140305,autodesk.spec.aec:number-2.0.0,"Poisson ratio Z","0"
523,Materials,Concrete, Cast In Situ,-1140304,autodesk.spec.aec:number-2.0.0,"Poisson ratio Y","0"
523,Materials,Concrete, Cast In Situ,-1140303,autodesk.spec.aec:number-2.0.0,"Poisson ratio X","0"
523,Materials,Concrete, Cast In Situ,-1140302,autodesk.spec.aec.structural:stress-2.0.0,"Young modulus Z","0.0 MPa"
523,Materials,Concrete, Cast In Situ,-1140301,autodesk.spec.aec.structural:stress-2.0.0,"Young modulus Y","0.0 MPa"
523,Materials,Concrete, Cast In Situ,-1140300,autodesk.spec.aec.structural:stress-2.0.0,"Young modulus X","0.0 MPa"
523,Materials,Concrete, Cast In Situ,-1013201,,"Design Option","-1"
523,Materials,Concrete, Cast In Situ,-1010109,autodesk.spec:spec.string-2.0.0,"Model",""
523,Materials,Concrete, Cast In Situ,-1010108,autodesk.spec:spec.string-2.0.0,"Manufacturer",""
523,Materials,Concrete, Cast In Situ,-1010106,autodesk.spec:spec.string-2.0.0,"Comments",""
523,Materials,Concrete, Cast In Situ,-1010104,autodesk.spec.string:url-2.0.0,"URL",""
523,Materials,Concrete, Cast In Situ,-1010103,autodesk.spec:spec.string-2.0.0,"Description","physical material"
523,Materials,Concrete, Cast In Situ,-1002554,autodesk.spec:spec.int64-2.0.0,"Shininess","128"
523,Materials,Concrete, Cast In Situ,-1002553,autodesk.spec:spec.int64-2.0.0,"Smoothness","50"
523,Materials,Concrete, Cast In Situ,-1002552,autodesk.spec:spec.bool-1.0.0,"Glow","No"
523,Materials,Concrete, Cast In Situ,-1002551,autodesk.spec:spec.int64-2.0.0,"Transparency","0"
523,Materials,Concrete, Cast In Situ,-1002550,,"Color",""
523,Materials,Concrete, Cast In Situ,-1002002,autodesk.spec:spec.string-2.0.0,"Family Name",""
523,Materials,Concrete, Cast In Situ,-1002001,autodesk.spec:spec.string-2.0.0,"Type Name",""
523,Materials,Concrete, Cast In Situ,-1001205,autodesk.spec.measurable:currency-2.0.0,"Cost","0.00"
523,Materials,Concrete, Cast In Situ,-1001203,autodesk.spec:spec.string-2.0.0,"Mark",""
523,Materials,Concrete, Cast In Situ,198377,autodesk.spec.aec:number-1.0.0,"Recycled Content","0"
694,Levels,Ceiling,-1140363,,"Category","Levels"
694,Levels,Ceiling,-1140362,,"Category","Levels"
694,Levels,Ceiling,-1013201,,"Design Option","-1"
694,Levels,Ceiling,-1012201,,"Scope Box","None"
694,Levels,Ceiling,-1008000,autodesk.spec:spec.string-2.0.0,"Name","Ceiling"
694,Levels,Ceiling,-1007112,autodesk.spec:spec.bool-1.0.0,"Structural","No"
694,Levels,Ceiling,-1007111,autodesk.spec:spec.bool-1.0.0,"Building Story","Yes"
694,Levels,Ceiling,-1007110,,"Story Above","Default"
694,Levels,Ceiling,-1007102,autodesk.spec.aec:length-2.0.0,"Elevation","2700"
694,Levels,Ceiling,-1006939,autodesk.spec.aec:length-2.0.0,"Computation Height","0"
694,Levels,Ceiling,-1002052,,"Family and Type","Level: 8mm Head"
694,Levels,Ceiling,-1002051,,"Family","Level"
694,Levels,Ceiling,-1002050,,"Type","8mm Head"
694,Levels,Ceiling,-1002002,autodesk.spec:spec.string-2.0.0,"Family Name",""
694,Levels,Ceiling,-1002001,autodesk.spec:spec.string-2.0.0,"Type Name",""
694,Levels,Ceiling,-1002000,,"Type Id","305"
1049,Section Marks,M_Section Head - Filled,-1140363,,"Category","Section Marks"
1049,Section Marks,M_Section Head - Filled,-1140362,,"Category","Section Marks"
1049,Section Marks,M_Section Head - Filled,-1013201,,"Design Option","-1"
1049,Section Marks,M_Section Head - Filled,-1002002,autodesk.spec:spec.string-2.0.0,"Family Name","M_Section Head - Filled"
1049,Section Marks,M_Section Head - Filled,-1002001,autodesk.spec:spec.string-2.0.0,"Type Name","M_Section Head - Filled"
1141,Callout Heads,Metric Callout,-1140363,,"Category","Callout Heads"
1141,Callout Heads,Metric Callout,-1140362,,"Category","Callout Heads"
1141,Callout Heads,Metric Callout,-1013201,,"Design Option","-1"
1141,Callout Heads,Metric Callout,-1002002,autodesk.spec:spec.string-2.0.0,"Family Name","M_Callout Head"
1141,Callout Heads,Metric Callout,-1002001,autodesk.spec:spec.string-2.0.0,"Type Name","Metric Callout"
8142,Elevations,Elevation 2,-1140363,,"Category","Elevations"
8142,Elevations,Elevation 2,-1140362,,"Category","Elevations"
8142,Elevations,Elevation 2,-1013201,,"Design Option","-1"
8142,Elevations,Elevation 2,-1006602,autodesk.spec:spec.string-2.0.0,"Detail Number","-"
8142,Elevations,Elevation 2,-1006601,autodesk.spec:spec.string-2.0.0,"Sheet Number","-"
8142,Elevations,Elevation 2,-1005171,autodesk.spec:spec.string-2.0.0,"Referencing Detail","1"
8142,Elevations,Elevation 2,-1005170,autodesk.spec:spec.string-2.0.0,"Referencing Sheet","A102"
8142,Elevations,Elevation 2,-1005120,autodesk.spec:spec.string-2.0.0,"Reference Label",""
8142,Elevations,Elevation 2,-1005112,autodesk.spec:spec.string-2.0.0,"View Name","North"
8142,Elevations,Elevation 2,-1002052,,"Family and Type","Elevation: Building Elevation"
8142,Elevations,Elevation 2,-1002051,,"Family","Elevation"
8142,Elevations,Elevation 2,-1002050,,"Type","Building Elevation"
8142,Elevations,Elevation 2,-1002002,autodesk.spec:spec.string-2.0.0,"Family Name",""
8142,Elevations,Elevation 2,-1002001,autodesk.spec:spec.string-2.0.0,"Type Name",""
8142,Elevations,Elevation 2,-1002000,,"Type Id","49557"
8152,Views,North,-1154613,,"Show Hidden Lines","By Discipline"
8152,Views,North,-1140363,,"Category","Views"
8152,Views,North,-1140362,,"Category","Views"
8152,Views,North,-1013201,,"Design Option","-1"
8152,Views,North,-1012202,,"Scope Box","None"
8152,Views,North,-1012103,,"Phase Filter","Show All"
8152,Views,North,-1012102,,"Phase","Working Drawings"
8152,Views,North,-1011003,,"Parts Visibility","Show Original"
8152,Views,North,-1011002,,"Detail Level","Fine"
8152,Views,North,-1007608,,"Associated Datum","None"
8152,Views,North,-1006613,,"Hide at scales coarser than"," 1 : 5000"
8152,Views,North,-1006602,autodesk.spec:spec.string-2.0.0,"Detail Number","-"
8152,Views,North,-1006601,autodesk.spec:spec.string-2.0.0,"Sheet Number","---"
8152,Views,North,-1005333,autodesk.spec:spec.bool-1.0.0,"Sun Path","No"
8152,Views,North,-1005332,autodesk.spec:spec.string-2.0.0,"Default Analysis Display Style","None"
8152,Views,North,-1005183,,"Color Scheme Location","Background"
8152,Views,North,-1005182,autodesk.spec:spec.string-2.0.0,"Dependency","Independent"
8152,Views,North,-1005176,,"View Template",""
8152,Views,North,-1005173,,"Graphic Display Options",""
8152,Views,North,-1005171,autodesk.spec:spec.string-2.0.0,"Referencing Detail","1"
8152,Views,North,-1005170,autodesk.spec:spec.string-2.0.0,"Referencing Sheet","A102"
8152,Views,North,-1005164,,"Visibility/Graphics Overrides",""
8152,Views,North,-1005163,,"Discipline","Architectural"
8152,Views,North,-1005161,,"Display Model","Normal"
8152,Views,North,-1005151,,"View Scale"," 1 : 100"
8152,Views,North,-1005150,autodesk.spec:spec.int64-2.0.0,"Scale Value    1:","100"
8152,Views,North,-1005148,,"Color Scheme",""
8152,Views,North,-1005147,,"None","103653"
8152,Views,North,-1005123,,"Far Clipping",""
8152,Views,North,-1005120,autodesk.spec:spec.string-2.0.0,"Reference Label",""
8152,Views,North,-1005114,autodesk.spec:spec.string-2.0.0,"Title on Sheet",""
8152,Views,North,-1005112,autodesk.spec:spec.string-2.0.0,"View Name","North"
8152,Views,North,-1005104,autodesk.spec.aec:length-2.0.0,"Far Clip Offset","22132"
8152,Views,North,-1005094,autodesk.spec:spec.bool-1.0.0,"Annotation Crop","Yes"
8152,Views,North,-1005091,autodesk.spec:spec.bool-1.0.0,"Crop Region Visible","No"
8152,Views,North,-1005090,autodesk.spec:spec.bool-1.0.0,"Crop View","Yes"
8152,Views,North,-1002052,,"Family and Type","Elevation: Building Elevation"
8152,Views,North,-1002051,,"Family","Elevation"
8152,Views,North,-1002050,,"Type","Building Elevation"
8152,Views,North,-1002002,autodesk.spec:spec.string-2.0.0,"Family Name",""
8152,Views,North,-1002001,autodesk.spec:spec.string-2.0.0,"Type Name",""
8152,Views,North,-1002000,,"Type Id","49557"
8174,Elevations,Elevation 3,-1140363,,"Category","Elevations"
8174,Elevations,Elevation 3,-1140362,,"Category","Elevations"
8174,Elevations,Elevation 3,-1013201,,"Design Option","-1"
8174,Elevations,Elevation 3,-1006602,autodesk.spec:spec.string-2.0.0,"Detail Number","3"
8174,Elevations,Elevation 3,-1006601,autodesk.spec:spec.string-2.0.0,"Sheet Number","A105"
8174,Elevations,Elevation 3,-1005171,autodesk.spec:spec.string-2.0.0,"Referencing Detail","1"
8174,Elevations,Elevation 3,-1005170,autodesk.spec:spec.string-2.0.0,"Referencing Sheet","A102"
8174,Elevations,Elevation 3,-1005120,autodesk.spec:spec.string-2.0.0,"Reference Label",""
8174,Elevations,Elevation 3,-1005112,autodesk.spec:spec.string-2.0.0,"View Name","East"
8174,Elevations,Elevation 3,-1002052,,"Family and Type","Elevation: Building Elevation"
8174,Elevations,Elevation 3,-1002051,,"Family","Elevation"
8174,Elevations,Elevation 3,-1002050,,"Type","Building Elevation"
8174,Elevations,Elevation 3,-1002002,autodesk.spec:spec.string-2.0.0,"Family Name",""
8174,Elevations,Elevation 3,-1002001,autodesk.spec:spec.string-2.0.0,"Type Name",""
8174,Elevations,Elevation 3,-1002000,,"Type Id","49557"
8175,Views,East,-1154613,,"Show Hidden Lines","By Discipline"
8175,Views,East,-1140363,,"Category","Views"
8175,Views,East,-1140362,,"Category","Views"
8175,Views,East,-1013201,,"Design Option","-1"
8175,Views,East,-1012202,,"Scope Box","None"
8175,Views,East,-1012103,,"Phase Filter","Show All"
8175,Views,East,-1012102,,"Phase","Working Drawings"
8175,Views,East,-1011003,,"Parts Visibility","Show Original"
8175,Views,East,-1011002,,"Detail Level","Fine"
8175,Views,East,-1007608,,"Associated Datum","None"
8175,Views,East,-1006613,,"Hide at scales coarser than"," 1 : 5000"
8175,Views,East,-1006602,autodesk.spec:spec.string-2.0.0,"Detail Number","3"
