HostElementId,HostCategory,HostElementName,ParameterId,ParameterTypeId,ParameterName,ParameterValue
26,"Materials","Glass",-1140302,autodesk.spec.aec.structural:stress-2.0.0,"Young modulus Z","0.0 MPa"
26,"Materials","Glass",-1140301,autodesk.spec.aec.structural:stress-2.0.0,"Young modulus Y","0.0 MPa"
26,"Materials","Glass",-1140300,autodesk.spec.aec.structural:stress-2.0.0,"Young modulus X","0.0 MPa"
26,"Materials","Glass",-1013201,,"Design Option","-1"
26,"Materials","Glass",-1010109,autodesk.spec:spec.string-2.0.0,"Model",""
26,"Materials","Glass",-1010108,autodesk.spec:spec.string-2.0.0,"Manufacturer",""
26,"Materials","Glass",-1010106,autodesk.spec:spec.string-2.0.0,"Comments",""
26,"Materials","Glass",-1010104,autodesk.spec.string:url-2.0.0,"URL",""
26,"Materials","Glass",-1010103,autodesk.spec:spec.string-2.0.0,"Description","Soda Lime Glass"
26,"Materials","Glass",-1002554,autodesk.spec:spec.int64-2.0.0,"Shininess","12"
26,"Materials","Glass",-1002553,autodesk.spec:spec.int64-2.0.0,"Smoothness","50"
26,"Materials","Glass",-1002552,autodesk.spec:spec.bool-1.0.0,"Glow","No"
26,"Materials","Glass",-1002551,autodesk.spec:spec.int64-2.0.0,"Transparency","90"
26,"Materials","Glass",-1002550,,"Color",""
26,"Materials","Glass",-1002002,autodesk.spec:spec.string-2.0.0,"Family Name",""
26,"Materials","Glass",-1002001,autodesk.spec:spec.string-2.0.0,"Type Name",""
26,"Materials","Glass",-1001205,autodesk.spec.measurable:currency-2.0.0,"Cost","0.00"
26,"Materials","Glass",-1001203,autodesk.spec:spec.string-2.0.0,"Mark",""
26,"Materials","Glass",198377,autodesk.spec.aec:number-1.0.0,"Recycled Content","0"
305,"Levels","8mm Head",-1140363,,"Category","Levels"
305,"Levels","8mm Head",-1140362,,"Category","Levels"
305,"Levels","8mm Head",-1013201,,"Design Option","-1"
305,"Levels","8mm Head",-1008002,autodesk.spec:spec.bool-1.0.0,"Symbol at End 1 Default","No"
305,"Levels","8mm Head",-1008001,autodesk.spec:spec.bool-1.0.0,"Symbol at End 2 Default","Yes"
305,"Levels","8mm Head",-1007109,,"Elevation Base","Project Base Point"
305,"Levels","8mm Head",-1007100,,"Symbol","M_Level Head - Circle"
305,"Levels","8mm Head",-1006305,,"Line Pattern","Dash - Tight"
305,"Levels","8mm Head",-1006304,,"Color",""
305,"Levels","8mm Head",-1006303,,"Line Weight","1"
305,"Levels","8mm Head",-1002002,autodesk.spec:spec.string-2.0.0,"Family Name","Level"
305,"Levels","8mm Head",-1002001,autodesk.spec:spec.string-2.0.0,"Type Name","8mm Head"
311,"Levels","Level 1",-1140363,,"Category","Levels"
311,"Levels","Level 1",-1140362,,"Category","Levels"
311,"Levels","Level 1",-1013201,,"Design Option","-1"
311,"Levels","Level 1",-1012201,,"Scope Box","None"
311,"Levels","Level 1",-1008000,autodesk.spec:spec.string-2.0.0,"Name","Level 1"
311,"Levels","Level 1",-1007112,autodesk.spec:spec.bool-1.0.0,"Structural","No"
311,"Levels","Level 1",-1007111,autodesk.spec:spec.bool-1.0.0,"Building Story","Yes"
311,"Levels","Level 1",-1007110,,"Story Above","Default"
311,"Levels","Level 1",-1007102,autodesk.spec.aec:length-2.0.0,"Elevation","0"
311,"Levels","Level 1",-1006939,autodesk.spec.aec:length-2.0.0,"Computation Height","0"
311,"Levels","Level 1",-1002052,,"Family and Type","Level: 8mm Head"
311,"Levels","Level 1",-1002051,,"Family","Level"
311,"Levels","Level 1",-1002050,,"Type","8mm Head"
311,"Levels","Level 1",-1002002,autodesk.spec:spec.string-2.0.0,"Family Name",""
311,"Levels","Level 1",-1002001,autodesk.spec:spec.string-2.0.0,"Type Name",""
311,"Levels","Level 1",-1002000,,"Type Id","305"
339,"Floors","Generic 150mm",-1152384,autodesk.spec.reference:image-1.0.0,"Type Image","<None>"
339,"Floors","Generic 150mm",-1140422,autodesk.spec:spec.string-2.0.0,"Keynote",""
339,"Floors","Generic 150mm",-1140363,,"Category","Floors"
339,"Floors","Generic 150mm",-1140362,,"Category","Floors"
339,"Floors","Generic 150mm",-1013201,,"Design Option","-1"
339,"Floors","Generic 150mm",-1010109,autodesk.spec:spec.string-2.0.0,"Model",""
339,"Floors","Generic 150mm",-1010108,autodesk.spec:spec.string-2.0.0,"Manufacturer",""
339,"Floors","Generic 150mm",-1010105,autodesk.spec:spec.string-2.0.0,"Type Comments",""
339,"Floors","Generic 150mm",-1010104,autodesk.spec.string:url-2.0.0,"URL",""
339,"Floors","Generic 150mm",-1010103,autodesk.spec:spec.string-2.0.0,"Description",""
339,"Floors","Generic 150mm",-1005500,autodesk.spec.aec:material-1.0.0,"Structural Material","SH_resin Floor"
339,"Floors","Generic 150mm",-1005436,autodesk.spec:spec.int64-2.0.0,"Roughness","1"
339,"Floors","Generic 150mm",-1005435,autodesk.spec.aec:number-2.0.0,"Absorptance","0.1"
339,"Floors","Generic 150mm",-1005434,autodesk.spec.aec.energy:heatCapacityPerArea-2.0.0,"Thermal Mass","0.00 kJ/(m²·K)"
339,"Floors","Generic 150mm",-1005431,autodesk.spec.aec.energy:thermalResistance-2.0.0,"Thermal Resistance (R)","0.0000 (m²·K)/W"
339,"Floors","Generic 150mm",-1005430,autodesk.spec.aec.energy:heatTransferCoefficient-2.0.0,"Heat Transfer Coefficient (U)","0.0000 W/(m²·K)"
339,"Floors","Generic 150mm",-1002501,autodesk.spec:spec.string-2.0.0,"Assembly Description",""
339,"Floors","Generic 150mm",-1002500,autodesk.spec:spec.string-2.0.0,"Assembly Code",""
339,"Floors","Generic 150mm",-1002116,,"Structure",""
339,"Floors","Generic 150mm",-1002110,,"Coarse Scale Fill Color",""
339,"Floors","Generic 150mm",-1002106,,"Coarse Scale Fill Pattern",""
339,"Floors","Generic 150mm",-1002002,autodesk.spec:spec.string-2.0.0,"Family Name","Floor"
339,"Floors","Generic 150mm",-1002001,autodesk.spec:spec.string-2.0.0,"Type Name","Generic 150mm"
339,"Floors","Generic 150mm",-1001902,autodesk.spec.aec:length-2.0.0,"Default Thickness","150"
339,"Floors","Generic 150mm",-1001405,autodesk.spec:spec.string-2.0.0,"Type Mark",""
339,"Floors","Generic 150mm",-1001205,autodesk.spec.measurable:currency-2.0.0,"Cost","0.00"
339,"Floors","Generic 150mm",-1001006,,"Function","Interior"
375,"","Show All",-1140363,,"Category",""
375,"","Show All",-1140362,,"Category",""
375,"","Show All",-1013201,,"Design Option","-1"
375,"","Show All",-1002002,autodesk.spec:spec.string-2.0.0,"Family Name",""
375,"","Show All",-1002001,autodesk.spec:spec.string-2.0.0,"Type Name",""
442,"","Concrete",-1140363,,"Category",""
442,"","Concrete",-1140362,,"Category",""
442,"","Concrete",-1013201,,"Design Option","-1"
442,"","Concrete",-1002002,autodesk.spec:spec.string-2.0.0,"Family Name",""
442,"","Concrete",-1002001,autodesk.spec:spec.string-2.0.0,"Type Name",""
523,"Materials","Concrete, Cast In Situ",-1152385,autodesk.spec.reference:image-1.0.0,"Image","<None>"
523,"Materials","Concrete, Cast In Situ",-1150465,autodesk.spec:spec.string-2.0.0,"Subclass",""
523,"Materials","Concrete, Cast In Situ",-1150464,,"Class","Undefined"
523,"Materials","Concrete, Cast In Situ",-1140422,autodesk.spec:spec.string-2.0.0,"Keynote",""
523,"Materials","Concrete, Cast In Situ",-1140400,,"Material Type","Concrete"
523,"Materials","Concrete, Cast In Situ",-1140363,,"Category","Materials"
523,"Materials","Concrete, Cast In Situ",-1140362,,"Category","Materials"
523,"Materials","Concrete, Cast In Situ",-1140355,autodesk.spec:spec.string-2.0.0,"Name","Concrete, Cast In Situ"
523,"Materials","Concrete, Cast In Situ",-1140323,autodesk.spec:spec.bool-1.0.0,"Lightweight","No"
523,"Materials","Concrete, Cast In Situ",-1140322,,"Behavior","Isotropic"
523,"Materials","Concrete, Cast In Situ",-1140317,autodesk.spec.aec:number-2.0.0,"Shear strength modification","0"
523,"Materials","Concrete, Cast In Situ",-1140314,autodesk.spec.aec.structural:stress-2.0.0,"Concrete compression","0.0 MPa"
523,"Materials","Concrete, Cast In Situ",-1140312,autodesk.spec.aec.structural:thermalExpansionCoefficient-2.0.0,"Thermal expansion coefficient Z","0.00000 1/°C"
523,"Materials","Concrete, Cast In Situ",-1140311,autodesk.spec.aec.structural:thermalExpansionCoefficient-2.0.0,"Thermal expansion coefficient Y","0.00000 1/°C"
523,"Materials","Concrete, Cast In Situ",-1140310,autodesk.spec.aec.structural:thermalExpansionCoefficient-2.0.0,"Thermal expansion coefficient X","0.00000 1/°C"
523,"Materials","Concrete, Cast In Situ",-1140309,autodesk.spec.aec.structural:unitWeight-2.0.0,"Unit weight","0.0 kN/m³"
523,"Materials","Concrete, Cast In Situ",-1140308,autodesk.spec.aec.structural:stress-2.0.0,"Shear modulus Z","0.0 MPa"
523,"Materials","Concrete, Cast In Situ",-1140307,autodesk.spec.aec.structural:stress-2.0.0,"Shear modulus Y","0.0 MPa"
523,"Materials","Concrete, Cast In Situ",-1140306,autodesk.spec.aec.structural:stress-2.0.0,"Shear modulus X","0.0 MPa"
523,"Materials","Concrete, Cast In Situ",-1140305,autodesk.spec.aec:number-2.0.0,"Poisson ratio Z","0"
523,"Materials","Concrete, Cast In Situ",-1140304,autodesk.spec.aec:number-2.0.0,"Poisson ratio Y","0"
523,"Materials","Concrete, Cast In Situ",-1140303,autodesk.spec.aec:number-2.0.0,"Poisson ratio X","0"
523,"Materials","Concrete, Cast In Situ",-1140302,autodesk.spec.aec.structural:stress-2.0.0,"Young modulus Z","0.0 MPa"
523,"Materials","Concrete, Cast In Situ",-1140301,autodesk.spec.aec.structural:stress-2.0.0,"Young modulus Y","0.0 MPa"
523,"Materials","Concrete, Cast In Situ",-1140300,autodesk.spec.aec.structural:stress-2.0.0,"Young modulus X","0.0 MPa"
523,"Materials","Concrete, Cast In Situ",-1013201,,"Design Option","-1"
523,"Materials","Concrete, Cast In Situ",-1010109,autodesk.spec:spec.string-2.0.0,"Model",""
523,"Materials","Concrete, Cast In Situ",-1010108,autodesk.spec:spec.string-2.0.0,"Manufacturer",""
523,"Materials","Concrete, Cast In Situ",-1010106,autodesk.spec:spec.string-2.0.0,"Comments",""
523,"Materials","Concrete, Cast In Situ",-1010104,autodesk.spec.string:url-2.0.0,"URL",""
523,"Materials","Concrete, Cast In Situ",-1010103,autodesk.spec:spec.string-2.0.0,"Description","physical material"
523,"Materials","Concrete, Cast In Situ",-1002554,autodesk.spec:spec.int64-2.0.0,"Shininess","128"
523,"Materials","Concrete, Cast In Situ",-1002553,autodesk.spec:spec.int64-2.0.0,"Smoothness","50"
523,"Materials","Concrete, Cast In Situ",-1002552,autodesk.spec:spec.bool-1.0.0,"Glow","No"
523,"Materials","Concrete, Cast In Situ",-1002551,autodesk.spec:spec.int64-2.0.0,"Transparency","0"
523,"Materials","Concrete, Cast In Situ",-1002550,,"Color",""
523,"Materials","Concrete, Cast In Situ",-1002002,autodesk.spec:spec.string-2.0.0,"Family Name",""
523,"Materials","Concrete, Cast In Situ",-1002001,autodesk.spec:spec.string-2.0.0,"Type Name",""
523,"Materials","Concrete, Cast In Situ",-1001205,autodesk.spec.measurable:currency-2.0.0,"Cost","0.00"
523,"Materials","Concrete, Cast In Situ",-1001203,autodesk.spec:spec.string-2.0.0,"Mark",""
523,"Materials","Concrete, Cast In Situ",198377,autodesk.spec.aec:number-1.0.0,"Recycled Content","0"
694,"Levels","Ceiling",-1140363,,"Category","Levels"
694,"Levels","Ceiling",-1140362,,"Category","Levels"
694,"Levels","Ceiling",-1013201,,"Design Option","-1"
694,"Levels","Ceiling",-1012201,,"Scope Box","None"
694,"Levels","Ceiling",-1008000,autodesk.spec:spec.string-2.0.0,"Name","Ceiling"
694,"Levels","Ceiling",-1007112,autodesk.spec:spec.bool-1.0.0,"Structural","No"
694,"Levels","Ceiling",-1007111,autodesk.spec:spec.bool-1.0.0,"Building Story","Yes"
694,"Levels","Ceiling",-1007110,,"Story Above","Default"
694,"Levels","Ceiling",-1007102,autodesk.spec.aec:length-2.0.0,"Elevation","2700"
694,"Levels","Ceiling",-1006939,autodesk.spec.aec:length-2.0.0,"Computation Height","0"
694,"Levels","Ceiling",-1002052,,"Family and Type","Level: 8mm Head"
694,"Levels","Ceiling",-1002051,,"Family","Level"
694,"Levels","Ceiling",-1002050,,"Type","8mm Head"
694,"Levels","Ceiling",-1002002,autodesk.spec:spec.string-2.0.0,"Family Name",""
694,"Levels","Ceiling",-1002001,autodesk.spec:spec.string-2.0.0,"Type Name",""
694,"Levels","Ceiling",-1002000,,"Type Id","305"
16216,"Profiles","50 x 50mm",-1152384,autodesk.spec.reference:image-1.0.0,"Type Image","<None>"
16216,"Profiles","50 x 50mm",-1140422,autodesk.spec:spec.string-2.0.0,"Keynote",""
16216,"Profiles","50 x 50mm",-1140363,,"Category","Profiles"
16216,"Profiles","50 x 50mm",-1140362,,"Category","Profiles"
16216,"Profiles","50 x 50mm",-1013201,,"Design Option","-1"
16216,"Profiles","50 x 50mm",-1010109,autodesk.spec:spec.string-2.0.0,"Model",""
16216,"Profiles","50 x 50mm",-1010108,autodesk.spec:spec.string-2.0.0,"Manufacturer",""
16216,"Profiles","50 x 50mm",-1010105,autodesk.spec:spec.string-2.0.0,"Type Comments",""
16216,"Profiles","50 x 50mm",-1010104,autodesk.spec.string:url-2.0.0,"URL",""
16216,"Profiles","50 x 50mm",-1010103,autodesk.spec:spec.string-2.0.0,"Description",""
16216,"Profiles","50 x 50mm",-1005556,autodesk.spec:spec.string-2.0.0,"Code Name",""
16216,"Profiles","50 x 50mm",-1005554,autodesk.spec:spec.string-2.0.0,"Section Name Key",""
16216,"Profiles","50 x 50mm",-1005501,autodesk.spec:spec.string-2.0.0,"Section Shape","Not Defined"
16216,"Profiles","50 x 50mm",-1002503,autodesk.spec:spec.string-2.0.0,"OmniClass Title",""
16216,"Profiles","50 x 50mm",-1002502,autodesk.spec:spec.string-2.0.0,"OmniClass Number",""
16216,"Profiles","50 x 50mm",-1002501,autodesk.spec:spec.string-2.0.0,"Assembly Description",""
16216,"Profiles","50 x 50mm",-1002500,autodesk.spec:spec.string-2.0.0,"Assembly Code",""
16216,"Profiles","50 x 50mm",-1002002,autodesk.spec:spec.string-2.0.0,"Family Name","M_Rectangular Handrail"
16216,"Profiles","50 x 50mm",-1002001,autodesk.spec:spec.string-2.0.0,"Type Name","50 x 50mm"
16216,"Profiles","50 x 50mm",-1001405,autodesk.spec:spec.string-2.0.0,"Type Mark",""
16216,"Profiles","50 x 50mm",-1001205,autodesk.spec.measurable:currency-2.0.0,"Cost","0.00"
16216,"Profiles","50 x 50mm",16209,autodesk.spec.aec:length-1.0.0,"Width","50"
16216,"Profiles","50 x 50mm",16210,autodesk.spec.aec:length-1.0.0,"Height","50"
21208,"Materials","Door - Handle",-1152385,autodesk.spec.reference:image-1.0.0,"Image","<None>"
21208,"Materials","Door - Handle",-1140422,autodesk.spec:spec.string-2.0.0,"Keynote",""
21208,"Materials","Door - Handle",-1140363,,"Category","Materials"
21208,"Materials","Door - Handle",-1140362,,"Category","Materials"
21208,"Materials","Door - Handle",-1140355,autodesk.spec:spec.string-2.0.0,"Name","Door - Handle"
21208,"Materials","Door - Handle",-1013201,,"Design Option","-1"
21208,"Materials","Door - Handle",-1010109,autodesk.spec:spec.string-2.0.0,"Model",""
21208,"Materials","Door - Handle",-1010108,autodesk.spec:spec.string-2.0.0,"Manufacturer",""
21208,"Materials","Door - Handle",-1010106,autodesk.spec:spec.string-2.0.0,"Comments",""
21208,"Materials","Door - Handle",-1010104,autodesk.spec.string:url-2.0.0,"URL",""
21208,"Materials","Door - Handle",-1010103,autodesk.spec:spec.string-2.0.0,"Description",""
21208,"Materials","Door - Handle",-1002554,autodesk.spec:spec.int64-2.0.0,"Shininess","64"
21208,"Materials","Door - Handle",-1002553,autodesk.spec:spec.int64-2.0.0,"Smoothness","50"
21208,"Materials","Door - Handle",-1002552,autodesk.spec:spec.bool-1.0.0,"Glow","No"
21208,"Materials","Door - Handle",-1002551,autodesk.spec:spec.int64-2.0.0,"Transparency","0"
21208,"Materials","Door - Handle",-1002550,,"Color",""
21208,"Materials","Door - Handle",-1002002,autodesk.spec:spec.string-2.0.0,"Family Name",""
21208,"Materials","Door - Handle",-1002001,autodesk.spec:spec.string-2.0.0,"Type Name",""
21208,"Materials","Door - Handle",-1001205,autodesk.spec.measurable:currency-2.0.0,"Cost","0.00"
21208,"Materials","Door - Handle",-1001203,autodesk.spec:spec.string-2.0.0,"Mark",""
21208,"Materials","Door - Handle",198377,autodesk.spec.aec:number-1.0.0,"Recycled Content","0"
24867,"Level Heads","M_Level Head - Circle",-1140363,,"Category","Level Heads"
24867,"Level Heads","M_Level Head - Circle",-1140362,,"Category","Level Heads"
24867,"Level Heads","M_Level Head - Circle",-1013201,,"Design Option","-1"
24867,"Level Heads","M_Level Head - Circle",-1002002,autodesk.spec:spec.string-2.0.0,"Family Name","M_Level Head - Circle"
24867,"Level Heads","M_Level Head - Circle",-1002001,autodesk.spec:spec.string-2.0.0,"Type Name","M_Level Head - Circle"
24867,"Level Heads","M_Level Head - Circle",24822,autodesk.spec:spec.string-2.0.0,"Name",""
24867,"Level Heads","M_Level Head - Circle",24824,autodesk.spec:spec.string-2.0.0,"Elevation",""
24867,"Level Heads","M_Level Head - Circle",24826,autodesk.spec.aec:length-1.0.0,"Radius","4"
49559,"","3D View",-1140363,,"Category",""
49559,"","3D View",-1140362,,"Category",""
49559,"","3D View",-1013201,,"Design Option","-1"
49559,"","3D View",-1008211,autodesk.spec:spec.bool-1.0.0,"New views are dependent on template","Yes"
49559,"","3D View",-1008210,,"View Template applied to new views",""
49559,"","3D View",-1008208,autodesk.spec.aec:material-1.0.0,"Coarse Poche Material","Poche"
49559,"","3D View",-1002002,autodesk.spec:spec.string-2.0.0,"Family Name","3D View"
49559,"","3D View",-1002001,autodesk.spec:spec.string-2.0.0,"Type Name","3D View"
51455,"Materials","Poche",-1152385,autodesk.spec.reference:image-1.0.0,"Image","<None>"
51455,"Materials","Poche",-1140422,autodesk.spec:spec.string-2.0.0,"Keynote",""
51455,"Materials","Poche",-1140363,,"Category","Materials"
51455,"Materials","Poche",-1140362,,"Category","Materials"
51455,"Materials","Poche",-1140355,autodesk.spec:spec.string-2.0.0,"Name","Poche"
51455,"Materials","Poche",-1013201,,"Design Option","-1"
51455,"Materials","Poche",-1010109,autodesk.spec:spec.string-2.0.0,"Model",""
51455,"Materials","Poche",-1010108,autodesk.spec:spec.string-2.0.0,"Manufacturer",""
51455,"Materials","Poche",-1010106,autodesk.spec:spec.string-2.0.0,"Comments",""
51455,"Materials","Poche",-1010104,autodesk.spec.string:url-2.0.0,"URL",""
51455,"Materials","Poche",-1010103,autodesk.spec:spec.string-2.0.0,"Description",""
51455,"Materials","Poche",-1002554,autodesk.spec:spec.int64-2.0.0,"Shininess","64"
51455,"Materials","Poche",-1002553,autodesk.spec:spec.int64-2.0.0,"Smoothness","50"
51455,"Materials","Poche",-1002552,autodesk.spec:spec.bool-1.0.0,"Glow","No"
51455,"Materials","Poche",-1002551,autodesk.spec:spec.int64-2.0.0,"Transparency","0"
51455,"Materials","Poche",-1002550,,"Color",""
51455,"Materials","Poche",-1002002,autodesk.spec:spec.string-2.0.0,"Family Name",""
51455,"Materials","Poche",-1002001,autodesk.spec:spec.string-2.0.0,"Type Name",""
51455,"Materials","Poche",-1001205,autodesk.spec.measurable:currency-2.0.0,"Cost","0.00"
51455,"Materials","Poche",-1001203,autodesk.spec:spec.string-2.0.0,"Mark",""
51455,"Materials","Poche",198377,autodesk.spec.aec:number-1.0.0,"Recycled Content","0"
86313,"Structural Foundations","150mm Foundation Slab",-1152384,autodesk.spec.reference:image-1.0.0,"Type Image","<None>"
86313,"Structural Foundations","150mm Foundation Slab",-1140422,autodesk.spec:spec.string-2.0.0,"Keynote",""
86313,"Structural Foundations","150mm Foundation Slab",-1140363,,"Category","Structural Foundations"
86313,"Structural Foundations","150mm Foundation Slab",-1140362,,"Category","Structural Foundations"
86313,"Structural Foundations","150mm Foundation Slab",-1013201,,"Design Option","-1"
86313,"Structural Foundations","150mm Foundation Slab",-1010109,autodesk.spec:spec.string-2.0.0,"Model",""
86313,"Structural Foundations","150mm Foundation Slab",-1010108,autodesk.spec:spec.string-2.0.0,"Manufacturer",""
86313,"Structural Foundations","150mm Foundation Slab",-1010105,autodesk.spec:spec.string-2.0.0,"Type Comments",""
86313,"Structural Foundations","150mm Foundation Slab",-1010104,autodesk.spec.string:url-2.0.0,"URL",""
86313,"Structural Foundations","150mm Foundation Slab",-1010103,autodesk.spec:spec.string-2.0.0,"Description",""
86313,"Structural Foundations","150mm Foundation Slab",-1005500,autodesk.spec.aec:material-1.0.0,"Structural Material","Concrete, Cast In Situ"
86313,"Structural Foundations","150mm Foundation Slab",-1005436,autodesk.spec:spec.int64-2.0.0,"Roughness","1"
86313,"Structural Foundations","150mm Foundation Slab",-1005435,autodesk.spec.aec:number-2.0.0,"Absorptance","0.1"
86313,"Structural Foundations","150mm Foundation Slab",-1005434,autodesk.spec.aec.energy:heatCapacityPerArea-2.0.0,"Thermal Mass","226.67 kJ/(m²·K)"
86313,"Structural Foundations","150mm Foundation Slab",-1005431,autodesk.spec.aec.energy:thermalResistance-2.0.0,"Thermal Resistance (R)","0.1434 (m²·K)/W"
86313,"Structural Foundations","150mm Foundation Slab",-1005430,autodesk.spec.aec.energy:heatTransferCoefficient-2.0.0,"Heat Transfer Coefficient (U)","6.9733 W/(m²·K)"
86313,"Structural Foundations","150mm Foundation Slab",-1002501,autodesk.spec:spec.string-2.0.0,"Assembly Description",""
86313,"Structural Foundations","150mm Foundation Slab",-1002500,autodesk.spec:spec.string-2.0.0,"Assembly Code",""
86313,"Structural Foundations","150mm Foundation Slab",-1002116,,"Structure",""
86313,"Structural Foundations","150mm Foundation Slab",-1002110,,"Coarse Scale Fill Color",""
86313,"Structural Foundations","150mm Foundation Slab",-1002106,,"Coarse Scale Fill Pattern",""
86313,"Structural Foundations","150mm Foundation Slab",-1002002,autodesk.spec:spec.string-2.0.0,"Family Name","Foundation Slab"
86313,"Structural Foundations","150mm Foundation Slab",-1002001,autodesk.spec:spec.string-2.0.0,"Type Name","150mm Foundation Slab"
86313,"Structural Foundations","150mm Foundation Slab",-1001902,autodesk.spec.aec:length-2.0.0,"Default Thickness","150"
86313,"Structural Foundations","150mm Foundation Slab",-1001557,autodesk.spec.aec:length-2.0.0,"Foundation Thickness","150"
86313,"Structural Foundations","150mm Foundation Slab",-1001405,autodesk.spec:spec.string-2.0.0,"Type Mark",""
86313,"Structural Foundations","150mm Foundation Slab",-1001205,autodesk.spec.measurable:currency-2.0.0,"Cost","0.00"
86961,"Phases","Working Drawings",-1140363,,"Category","Phases"
86961,"Phases","Working Drawings",-1140362,,"Category","Phases"
86961,"Phases","Working Drawings",-1013201,,"Design Option","-1"
86961,"Phases","Working Drawings",-1012111,autodesk.spec:spec.int64-2.0.0,"Sequence Number","2"
86961,"Phases","Working Drawings",-1012110,autodesk.spec:spec.string-2.0.0,"Name","Working Drawings"
86961,"Phases","Working Drawings",-1002002,autodesk.spec:spec.string-2.0.0,"Family Name",""
86961,"Phases","Working Drawings",-1002001,autodesk.spec:spec.string-2.0.0,"Type Name",""
99880,"Cover Type","Rebar Cover 1",-1140363,,"Category","Cover Type"
99880,"Cover Type","Rebar Cover 1",-1140362,,"Category","Cover Type"
99880,"Cover Type","Rebar Cover 1",-1013434,autodesk.spec.aec.structural:reinforcementCover-2.0.0,"Length","25 mm"
99880,"Cover Type","Rebar Cover 1",-1013433,autodesk.spec:spec.string-2.0.0,"Name","Rebar Cover 1"
99880,"Cover Type","Rebar Cover 1",-1013201,,"Design Option","-1"
99880,"Cover Type","Rebar Cover 1",-1002002,autodesk.spec:spec.string-2.0.0,"Family Name","Rebar Cover Settings"
99880,"Cover Type","Rebar Cover 1",-1002001,autodesk.spec:spec.string-2.0.0,"Type Name","Rebar Cover 1"
123311,"Materials","Glass, Clear Glazing",-1152385,autodesk.spec.reference:image-1.0.0,"Image","<None>"
123311,"Materials","Glass, Clear Glazing",-1150465,autodesk.spec:spec.string-2.0.0,"Subclass",""
123311,"Materials","Glass, Clear Glazing",-1150464,,"Class","Undefined"
123311,"Materials","Glass, Clear Glazing",-1140422,autodesk.spec:spec.string-2.0.0,"Keynote",""
123311,"Materials","Glass, Clear Glazing",-1140400,,"Material Type","Generic"
123311,"Materials","Glass, Clear Glazing",-1140363,,"Category","Materials"
123311,"Materials","Glass, Clear Glazing",-1140362,,"Category","Materials"
123311,"Materials","Glass, Clear Glazing",-1140355,autodesk.spec:spec.string-2.0.0,"Name","Glass, Clear Glazing"
123311,"Materials","Glass, Clear Glazing",-1140322,,"Behavior","Isotropic"
123311,"Materials","Glass, Clear Glazing",-1140319,autodesk.spec.aec.structural:stress-2.0.0,"Minimum tensile strength","0.0 MPa"
123311,"Materials","Glass, Clear Glazing",-1140318,autodesk.spec.aec.structural:stress-2.0.0,"Minimum yield stress","0.0 MPa"
123311,"Materials","Glass, Clear Glazing",-1140312,autodesk.spec.aec.structural:thermalExpansionCoefficient-2.0.0,"Thermal expansion coefficient Z","0.00000 1/°C"
